Name,Link
Jack Colback,/en/players/963a9201/Jack-Colback
Seamus Coleman,/en/players/0420d84f/Seamus-Coleman
Nathan Collins,/en/players/a8c19eb8/Nathan-Collins
Levi Colwill,/en/players/700783e7/Levi-Colwill
Lewis Cook,/en/players/2afc7272/Lewis-Cook
Steve Cook,/en/players/3e5e4e63/Steve-Cook
Liam Cooper,/en/players/dc64b8b3/Liam-Cooper
Maxwel Cornet,/en/players/beb391dd/Maxwel-Cornet
Diego Costa,/en/players/a190d597/Diego-Costa
Vladimir Coufal,/en/players/fdf3cb77/Vladimir-Coufal
Philippe Coutinho,/en/players/0ef89a37/Philippe-Coutinho
Conor Coventry,/en/players/a5ca9127/Conor-Coventry
Matthew Craig,/en/players/bc914523/Matthew-Craig
Aaron Cresswell,/en/players/4f974391/Aaron-Cresswell
Marc Cucurella,/en/players/1daec722/Marc-Cucurella
Matheus Cunha,/en/players/dc62b55d/Matheus-Cunha
Patson Daka,/en/players/ca45605e/Patson-Daka
Diogo Dalot,/en/players/d9565625/Diogo-Dalot
Mikkel Damsgaard,/en/players/215f3907/Mikkel-Damsgaard
Danilo,/en/players/a816dbfb/Danilo
Arnaut Danjuma,/en/players/f08490a6/Arnaut-Danjuma
Josh Dasilva,/en/players/60344e4f/Josh-Dasilva
David Datro Fofana,/en/players/e82900ef/David-Datro-Fofana
Ben Davies,/en/players/44781702/Ben-Davies
Tom Davies,/en/players/9228b07c/Tom-Davies
Craig Dawson,/en/players/3e9e06cb/Craig-Dawson
Craig Dawson,/en/players/3e9e06cb/Craig-Dawson
Kevin De Bruyne,/en/players/e46012d4/Kevin-De-Bruyne
Siriki Dembele,/en/players/11f54bd5/Siriki-Dembele
Leander Dendoncker,/en/players/5a7301ae/Leander-Dendoncker
Leander Dendoncker,/en/players/5a7301ae/Leander-Dendoncker
Emmanuel Dennis,/en/players/2c44a35d/Emmanuel-Dennis
Halil Dervisoglu,/en/players/9d8cf204/Halil-Dervisoglu
Kiernan Dewsbury Hall,/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Ibrahima Diallo,/en/players/11ff3d56/Ibrahima-Diallo
Ruben Dias,/en/players/31c69ef1/Ruben-Dias
Luis Diaz,/en/players/4a1a9578/Luis-Diaz
Eric Dier,/en/players/ac861941/Eric-Dier
Lucas Digne,/en/players/1b84dbe1/Lucas-Digne
Issa Diop,/en/players/a712ca2b/Issa-Diop
Moussa Djenepo,/en/players/254147d4/Moussa-Djenepo
Ben Doak,/en/players/733f1a7d/Ben-Doak
Matt Doherty,/en/players/d557d734/Matt-Doherty
Gabriel Dos Santos,/en/players/67ac5bb8/Gabriel-Dos-Santos
Abdoulaye Doucoure,/en/players/02b29014/Abdoulaye-Doucoure
Cheick Doucoure,/en/players/ce4f40c7/Cheick-Doucoure
Flynn Downes,/en/players/69fdb896/Flynn-Downes
Kami Doyle,/en/players/65983e4d/Kami-Doyle
Cody Drameh,/en/players/e0d1510a/Cody-Drameh
Martin Dubravka,/en/players/3a949a25/Martin-Dubravka
Shane Duffy,/en/players/7314bba4/Shane-Duffy
Lewis Dunk,/en/players/282f75f3/Lewis-Dunk
Jhon Duran,/en/players/414184f7/Jhon-Duran
Malcolm Ebiowei,/en/players/fa9fa773/Malcolm-Ebiowei
Ederson,/en/players/3bb7b8b4/Ederson
Odsonne Edouard,/en/players/0562b7f1/Odsonne-Edouard
Samuel Edozie,/en/players/007414dd/Samuel-Edozie
Anthony Elanga,/en/players/2fba6108/Anthony-Elanga
Harvey Elliott,/en/players/b9e1436c/Harvey-Elliott
Mohamed Elneny,/en/players/47a34c4f/Mohamed-Elneny
Mohamed Elyounoussi,/en/players/68dc0dac/Mohamed-Elyounoussi
Emerson,/en/players/df8b52a5/Emerson
Christian Eriksen,/en/players/980522ec/Christian-Eriksen
Pervis Estupinan,/en/players/d38fdf53/Pervis-Estupinan
Jonny Evans,/en/players/f8fcd2a5/Jonny-Evans
Eberechi Eze,/en/players/ae4fc6a4/Eberechi-Eze
Lukasz Fabianski,/en/players/9328b835/Lukasz-Fabianski
Fabinho,/en/players/7f3b388c/Fabinho
Wout Faes,/en/players/9c221d14/Wout-Faes
Felipe,/en/players/51a3c4c8/Felipe
Joao Felix,/en/players/8aafd64f/Joao-Felix
Evan Ferguson,/en/players/4596da74/Evan-Ferguson
Bruno Fernandes,/en/players/507c7bdf/Bruno-Fernandes
Enzo Fernandez,/en/players/5ff4ab71/Enzo-Fernandez
Roberto Firmino,/en/players/4c370d81/Roberto-Firmino
Junior Firpo,/en/players/24f59bb2/Junior-Firpo
Phil Foden,/en/players/ed1e53f3/Phil-Foden
Wesley Fofana,/en/players/132a82f1/Wesley-Fofana
Wesley Fofana,/en/players/132a82f1/Wesley-Fofana
Pablo Fornals,/en/players/82927de4/Pablo-Fornals
Adam Forshaw,/en/players/9f1938ab/Adam-Forshaw
Fraser Forster,/en/players/c3e39f12/Fraser-Forster
Tyrese Francois,/en/players/6722d4f0/Tyrese-Francois
Ryan Fraser,/en/players/d56543a0/Ryan-Fraser
Fred,/en/players/b853e0ad/Fred
Ryan Fredericks,/en/players/c067631c/Ryan-Fredericks
Remo Freuler,/en/players/98d2c2c4/Remo-Freuler
Cody Gakpo,/en/players/1971591f/Cody-Gakpo
Conor Gallagher,/en/players/c2731c10/Conor-Gallagher
Idrissa Gana Gueye,/en/players/72c812f3/Idrissa-Gana-Gueye
Alejandro Garnacho,/en/players/7aa8adfe/Alejandro-Garnacho
James Garner,/en/players/4e015693/James-Garner
David de Gea,/en/players/7ba6d84e/David-de-Gea
Joe Gelhardt,/en/players/01962d0d/Joe-Gelhardt
Saman Ghoddos,/en/players/f7b1d4e0/Saman-Ghoddos
Morgan Gibbs White,/en/players/32f60ed8/Morgan-Gibbs-White
Morgan Gibbs White,/en/players/32f60ed8/Morgan-Gibbs-White
Bryan Gil,/en/players/7b5ab7f2/Bryan-Gil
Billy Gilmour,/en/players/df10e27c/Billy-Gilmour
Degnand Gnonto,/en/players/75fdd638/Degnand-Gnonto
Ben Godfrey,/en/players/9f7c837d/Ben-Godfrey
Joao Gomes,/en/players/8b57ad2c/Joao-Gomes
Toti Gomes,/en/players/f0caab96/Toti-Gomes
